0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.209999999999999437e-04,3.999999999999998125e-06,1.599999999999999589e-05,5.899999999999999077e-05
9.269999999999999811e-04,8.999999999999996840e-06,6.999999999999998201e-06,5.699999999999999636e-05
9.209999999999999437e-04,1.899999999999999766e-05,1.099999999999999802e-05,4.899999999999999164e-05
9.399999999999998634e-04,6.999999999999998201e-06,1.099999999999999802e-05,4.199999999999999768e-05
9.329999999999999101e-04,1.299999999999999751e-05,1.199999999999999861e-05,4.199999999999999768e-05
9.279999999999998970e-04,1.099999999999999802e-05,1.199999999999999861e-05,4.899999999999999164e-05
9.409999999999998877e-04,1.999999999999999062e-06,6.999999999999998201e-06,4.999999999999999562e-05
9.309999999999999699e-04,8.999999999999996840e-06,7.999999999999997944e-06,5.199999999999999002e-05
9.499999999999998897e-04,6.999999999999998201e-06,5.999999999999998458e-06,3.699999999999999134e-05
9.369999999999997905e-04,6.999999999999998201e-06,1.199999999999999861e-05,4.399999999999999208e-05
